chapter,chapter_name
1,Foundation and Limit
2,Differentiation
3,"Application of differentiation, Parametric Equations and Polar Coordinates"
4,Indefinite Integral
5,Definite and Improper integral
6,Application of Integration
7,Sequence and Series
8,Multiple Integrals and Partial Derivatives
9,Differential Equations and Vector Calculus
